route_id,service_id,trip_id,trip_headsign,shape_id,block_id
3M,985,307262:422141:423261,MEMORIAL to Northwood,3520,423261
3M,986,307759:422142:423241,MEMORIAL to Airport,3516,423241
3M,976,309545:422143:423233,MEMORIAL to Waterfront,3562,423233
9,985,307066:422144:423240,JUNOT to Waterfront,3499,423240
9,985,307054:422145:423240,JUNOT to Waterfront,3499,423240
3C,976,309417:422146:423221,COUNTY PARK to Northwood,3564,423221
1,985,307033:422147:423210,MAINLINE to Waterfront,3522,423210
7,976,309683:422148:423213,HUDSON to Waterfront,3458,423213
17,985,306479:422149:423206,CURRENT RIVER to Waterfront,3566,423206
1,986,307979:422150:423190,MAINLINE to Waterfront,3529,423190
3M,986,307712:422151:423204,MEMORIAL to County Park,3560,423204
1,985,307017:422152:423210,MAINLINE to Waterfront,3522,423210
8,986,308453:422153:423193,JAMES to City Hall via College,3551,423193
7,986,307886:422154:423255,HUDSON to Waterfront,3458,423255
9,987,305834:422155:423236,JUNOT to Waterfront,3499,423236
3J,985,306842:422156:423244,JUMBO GARDENS to Airport,3530,423244
13,986,308396:422157:423267,JOHN-JUMBO to County Fair,3513,423267
17,976,309817:422158:423229,CURRENT RIVER to Waterfront,3566,423229
17,987,305810:422159:423196,CURRENT RIVER to Waterfront,3566,423196
17,985,306491:422160:423228,CURRENT RIVER to Waterfront,3566,423228
17,986,307664:422161:423200,CURRENT RIVER to Waterfront,3566,423200
3M,987,306101:422162:423231,MEMORIAL to Northwood,3515,423231
3C,986,308016:422163:423230,COUNTY PARK to Northwood,3564,423230
3M,976,309521:422164:423221,MEMORIAL to Northwood,3515,423221
8,985,307339:422165:423198,JAMES to City Hall via College,3551,423198
18,976,309839:422166:423208,WESTFORT to Mary,3509,423208
7,985,307151:422167:423268,HUDSON to Waterfront,3458,423268
3M,987,306082:422168:423214,MEMORIAL to Northwood,3515,423214
3C,986,308044:422169:423204,COUNTY PARK to Castlegreen Dr,3528,423204
3M,985,307182:422170:423258,MEMORIAL to County Park,3560,423258
3M,986,307730:422171:423241,MEMORIAL to City Hall,3518,423241
3M,985,307281:422172:423244,MEMORIAL to Airport,3521,423244
9,985,307072:422173:423228,JUNOT to Waterfront,3499,423228
3M,986,307715:422174:423219,MEMORIAL to Jumbo Gardens,3559,423219
3C,985,306925:422175:423257,COUNTY PARK to Northwood,3564,423257
18,976,309848:422176:423208,WESTFORT to Mary,3509,423208
2,986,308469:422177:423232,CROSSTOWN to Waterfront,3478,423232
3M,987,306117:422178:423207,MEMORIAL to City Hall,3518,423207
3M,976,309517:422179:423269,MEMORIAL to Northwood,3515,423269
3M,987,306104:422180:423256,MEMORIAL to City Hall,3518,423256
8,986,308410:422181:423219,JAMES to City Hall,3540,423219
9,985,307102:422182:423228,JUNOT to Waterfront,3499,423228
3C,986,307997:422183:423204,COUNTY PARK to Northwood,3564,423204
3J,985,306834:422184:423264,JUMBO GARDENS to Sherwood Dr.,3525,423264
3C,986,308042:422185:423230,COUNTY PARK to Castlegreen Dr,3528,423230
7,986,307870:422186:423255,HUDSON to Waterfront,3458,423255
3J,985,306843:422187:423224,JUMBO GARDENS to Airport,3530,423224
3M,985,307288:422188:423234,MEMORIAL to Airport,3516,423234
3J,986,308175:422189:423251,JUMBO GARDENS to Sherwood Dr.,3525,423251
3M,985,307251:422190:423244,MEMORIAL to Airport,3516,423244
3C,985,306959:422191:423258,COUNTY PARK to Northwood,3564,423258
3M,976,309552:422192:423233,MEMORIAL to City Hall,3518,423233
9,985,307073:422193:423206,JUNOT to Waterfront,3499,423206
3M,986,307771:422194:423188,MEMORIAL to Airport,3516,423188
1,985,307020:422195:423187,MAINLINE to Waterfront,3522,423187
3M,985,307291:422196:423258,MEMORIAL to Northwood,3520,423258
3M,976,309556:422197:423233,MEMORIAL to City Hall,3518,423233
3C,986,308022:422198:423260,COUNTY PARK to Castlegreen Dr,3528,423260
3C,985,306965:422199:423222,COUNTY PARK to Northwood,3564,423222
8,987,305902:422200:423191,JAMES to City Hall,3540,423191
9,985,307116:422201:423206,JUNOT to Waterfront,3499,423206
7,987,305914:422202:423245,HUDSON to Waterfront,3458,423245
3M,987,306091:422203:423207,MEMORIAL to City Hall,3518,423207
17,985,306505:422204:423240,CURRENT RIVER to Waterfront,3566,423240
3J,985,306846:422205:423197,JUMBO GARDENS to Sherwood Dr.,3525,423197
3C,986,308046:422206:423253,COUNTY PARK to Castlegreen Dr,3528,423253
7,976,309681:422207:423213,HUDSON to Waterfront,3458,423213
3M,986,307741:422208:423188,MEMORIAL to Airport,3516,423188
